book	source	target	code	source_lang	target_lang
norwegian_wood	「そういうのは実際には起こらないの？」	– To się w rzeczywistości nie zdarza?	ja-pl	ja	pl
norwegian_wood	そんなところで一人ぼっちでじわじわと死んでいくの。	Umierałby tam człowiek po troszeczku, zupełnie sam.	ja-pl	ja	pl
norwegian_wood	彼女は両手を僕の肩にあてて正面から、僕の目をじっとのぞきこんだ。	Położyła mi ręce na ramionach i zajrzała uważnie w oczy.	ja-pl	ja	pl
	舗道をまっすぐ行った正面には二階建ての本部建物がある。	Po‍ drugiej stronie dziedzińca, naprzeciw bramy znajdował się główny budynek kompleksu. 	ja-pl	ja	pl
norwegian_wood	一階には食堂と大きな浴場、二階には講堂といくつかの集会室、それから何に使うのかは知らないけれど貴賓室まである。	Był piętrowy, na parterze mieściła się stołówka, łazienki, na piętrze aula i sale, w których można było urządzać grupowe spotkania czy zebrania, oraz nie wiadomo czemu służące pokoje gościnne. 	ja-pl	ja	pl
the_trial	Er hatte die Beine übereinandergeschlagen und einen Arm auf die Rückenlehne des Stuhles gelegt.	Nogę miał założoną na nogę, ramię przewieszone przez oparcie krzesła.	de-pl	de	pl
the_trial	Jetzt war das Nachttischchen von ihrem Bett als Verhandlungstisch in die Mitte des Zimmers gerückt, und der Aufseher saß hinter ihm.	Teraz odsunięty od jej łóżka nocny stolik stał na środku pokoju w charakterze stołu rozpraw, a przy nim siedział nadzorca.	de-pl	de	pl
the_trial	Jemand mußte Josef K. verleumdet haben, denn ohne daß er etwas Böses getan hätte, wurde er eines Morgens verhaftet.	Ktoś musiał fałszywie oskarżyć Józefa K., bo przecież on nic złego nie zrobił, a został pewnego ranka pozbawiony wolności.	de-pl	de	pl
the_trial	Ohne auf dieses Angebot zu antworten, stand K. ein Weilchen lang still.	K., nie odpowiedziawszy na tę propozycję, przez chwilę stał bez ruchu.	de-pl	de	pl
the_trial	In diesem Frühjahr pflegte K. die Abende in der Weise zu verbringen, daß er nach der Arbeit, wenn dies noch möglich war – er saß meistens bis neun Uhr im Büro –, einen kleinen Spaziergang allein oder mit Beamten machte und dann in eine Bierstube ging, wo er an einem Stammtisch mit meist älteren Herren gewöhnlich bis elf Uhr beisammen saß. 	Tej wiosny K. zwykł spędzać wieczory następująco: po pracy w biurze, gdzie przeważnie siedział do dziewiątej, robił jeszcze w miarę możności mały spacer sam lub ze znajomymi, po czym szedł do pewnej piwiarni i wśród jej bywalców, starszych na ogół panów, przesiadywał przy stoliku najczęściej do jedenastej.	de-pl	de	pl
the_little_prince	Il me fallut longtemps pour comprendre d’où il venait.	Dużo czasu upłynęło, zanim zrozumiałem, skąd przybył.	fr-pl	fr	pl
les_miserables	En 1815, M. Charles-François-Bienvenu Myriel était évêque de Digne.	W roku 1815 ksiądz Karol Franciszek Benvenuto Myriel był biskupem w Digne.	fr-pl	fr	pl
les_miserables	― Quel est ce bonhomme qui me regarde ?	– Cóż to za poczciwina tak mi się przygląda?	fr-pl	fr	pl
les_miserables	Personne n’eût osé en parler, personne n’eût osé s’en souvenir.		fr-pl	fr	pl
les_miserables	Ils avaient pour tout domestique une servante du même âge que mademoiselle Baptistine, et appelée madame Magloire, laquelle, après avoir été la servante de M. le curé, prenait maintenant le double titre de femme de chambre de mademoiselle et femme de charge de monseigneur.	Służącą mieli jedną tylko, w wieku panny Baptystyny. Pani Magloire – bo tak się nazywała – przedtem była gospodynią proboszcza, teraz używała podwójnego tytułu: pokojowej siostry biskupa i gospodyni jego ekscelencji.	fr-pl	fr	pl
the_valley_of_fear	I followed him with a dour face.	Szedłem za nim z kwaśną miną.	en-pl	en	pl
the_valley_of_fear	Now I met her appealing gaze with an unresponsive eye.	Teraz obojętnym spojrzeniem odpowiedziałem na jej błagalny wzrok.	en-pl	en	pl
the_valley_of_fear	"Still on the track of the elusive bicyclist?" Holmes asked cheerfully.	— Ciągle szukacie panowie zaginionego rowerzysty? — pogodnie zapytał Holmes.	en-pl	en	pl
the_valley_of_fear	"You seem heeled and ready."	— Widzę, żeś się dobrze uzbroił i przygotował.	en-pl	en	pl
the_valley_of_fear	At three in the morning the chief Sussex detective, obeying the urgent call from Sergeant Wilson of Birlstone, arrived from headquarters in a light dog–cart behind a breathless trotter.	Na naglące wezwanie sierżanta Wilsona główny detektyw policji okręgu Sussex przypędził do Birlstone o trzeciej nad ranem w powoziku zaprzężonym w kłusaka, z którego o mało tchu nie wyparł.	en-pl	en	pl
war_and_peace	Вечер Анны Павловны был пущен.	Wieczór u Anny Pawłowny został wprawiony w ruch.	ru-pl	ru	pl
war_and_peace	— Вы не знаете аббата Морио? он очень интересный человек… — сказала она.	– Nie zna pan księdza Morio? To bardzo interesujący człowiek... – powiedziała.	ru-pl	ru	pl
war_and_peace	С лица ее исчезла вся прежняя притворность интереса.	Z twarzy jej zniknęło poprzednie sztuczne zaciekawienie.	ru-pl	ru	pl
war_and_peace	Быть энтузиасткой сделалось ее общественным положением, и иногда, когда ей даже того не хотелось, она, чтобы не обмануть ожиданий людей, знавших ее, делалась энтузиасткой.	Być entuzjastką stało się jej pozycją społeczną i niekiedy, nawet wcale tego nie chcąc, robiła z siebie entuzjastkę, aby nie zawieść oczekiwań ludzi, którzy ją znali.	ru-pl	ru	pl
war_and_peace	Так говорила в июле 1805 года известная Анна Павловна Шерер, фрейлина и приближенная императрицы Марии Феодоровны, встречая важного и чиновного князя Василия, первого приехавшего на ее вечер. 	Mówiła tak w lipcu 1805 r. znana powszechnie Anna Pawłowna Scherer, dama dworu i zaufana cesarzowej Marii Fiodorowny, witając znacznego dygnitarza księcia Wasilia, który pierwszy przybył na jej wieczór.	ru-pl	ru	pl
war_with_newts	Kapitán mrkal zamyšleně blankytnýma očima.	Kapitan chwilę się zastanawiał mrugając oczyma.	cs-pl	cs	pl
war_with_newts	"Sorry, Captain," řekl konečně kříženec mezi Kubu a Portugalcem, "ale tady, na Tana Masa, žádné mušle nerostou.	— Sorry, Captain* — rzekł wreszcie mieszaniec — ale tutaj, na Tana Masa, żadnych muszli nie ma. 	cs-pl	cs	pl
war_with_newts	"To jsou černošské pověry," prohlásil kapitán s žoviální převahou vzdělaného muže.	— Et, takie tam murzyńskie zabobony! — oburzył się kapitan z dobroduszną wyższością człowieka wykształconego.	cs-pl	cs	pl
war_with_newts	A zatím v redakci sedí pět nebo šest opuštěných lidí, neboť ostatní kolegové jsou také na dovolené, kde tlukou rozhořčeně novinami a stěžují se, že teď v těch novinách nic, ale docela Nic není.	Siedzi więc w redakcji pięciu czy sześciu zrezygnowanych ludzi, bo reszta kolegów także rozjechała się na urlopy, i z goryczą odrzucają gazety narzekając, że teraz w gazetach nie ma nic, ale to dosłownie Nic.	cs-pl	cs	pl
war_with_newts	"Já najdu nějaké jiné den. Třeba dvacátyho června, ne?"	— Muszę znaleźć jakiś inny dzień. Może trzydziestego czerwca, dobrze?	cs-pl	cs	pl
solaris	Jest pijany — pomyślałem.	酔っ払ってるんだな、と私は思った。	pl-ja	pl	ja
solaris	Wciąż miałem zatkane uszy i zdawało mi się, że gorzej słyszę.	相変わらず耳は真綿に塞がれたようで、聞こえはいっそう悪くなっているようだった。	pl-ja	pl	ja
solaris	Patrzał mi w oczy zimno, aż przeszły mnie ciarki.	そして冷ややかににらんだので、私はぞっとして鳥肌が立つほどだった。	pl-ja	pl	ja
solaris	— Czekaj — powiedział, kiedy zwracałem się ku drzwiom.	「待ってくれ」私がドアのほうに向いたとき、彼が言った。	pl-ja	pl	ja
solaris	— Kogo mogę zobaczyć? Ducha?! — wybuchnąłem.	「いったい誰を見かけるっていうんだ？幽霊か」私は感情を抑え切れなくなった。	pl-ja	pl	ja
anna_karenina	– Ну-с, господа… – И присутствие началось.	「では諸君……」こうして執務時間がはじまった。	ru-ja	ru	ja
anna_karenina	– А что? – испуганно спросил Левин.	「どういうわけで？」と、レーヴィンはびっくりしたようにきいた。	ru-ja	ru	ja
anna_karenina	– Получили наконец? – проговорил Степан Аркадьич, закладывая пальцем бумагу.	「とうとう来たか？」とステパン・アルカジエヴィッチは、指を書類にはさみながら、いった。	ru-ja	ru	ja
anna_karenina	Степана Аркадьича не только любили все знавшие его за его добрый, веселый нрав и несомненную честность, но в нем, в его красивой, светлой наружности, блестящих глазах, черных бровях, волосах, белизне и румянце лица, было что-то, физически действовавшее дружелюбно и весело на людей, встречавшихся с ним.	ステパン・アルカジエヴィッチは、ひとり、その善良で快活な性格と、疑いない正直さとのために、彼を知るすべての人から愛されたばかりでなく、彼の風采には、その美しい明るい容貌や、輝かしいまなざしや、黒い眉や、髪や、さてはまた顔色の白さやばら色のなかに、彼に接するすべての人に生理的に親しみぶかく愉快に作用する何ものかがあったのである。	ru-ja	ru	ja
anna_karenina	Маленький желтый человечек в очках, с узким лбом, на мгновение отвлекся от разговора, чтобы поздороваться, и продолжал речь, не обращая внимания на Левина.	眼鏡をかけた、額のせまい、小柄な人は、あいさつするためにちょっとのま話をきったが、レーヴィンには注意をむけないで、言葉をつづけた。	ru-ja	ru	ja
der_steppenwolf	Nun ja, dachte ich, meinetwegen.	なるほど、そんなものかもしれない、と私は考えました。	de-ja	de	ja
der_steppenwolf	Und in der Tat waren meine Befürchtungen unbegründet.	実際、私の懸念には根拠がありませんでした。	de-ja	de	ja
der_steppenwolf	»Aber«, sagte ich, »wenn er an ein ordentliches und anständiges Leben nicht gewöhnt ist, wie soll dann das werden?	「でも」と私は言いました。「もし彼がきちんとした堅気な生活に縁遠くなっているとすると、これからどうなることでしよう。	de-ja	de	ja
der_steppenwolf	Dieses Buch enthält die uns gebliebenen Aufzeichnungen jenes Mannes, welchen wir mit einem Ausdruck, den er selbst mehrmals gebrauchte, den »Steppenwolf« nannten.	この本は、筆者自身がしばしば用いた表現で私たちが「荒野のおおかみ」と呼んだ男の残した手記を内容としています。	de-ja	de	ja
der_steppenwolf	Zufällig war ich in dem Augenblick zugegen, wo der Steppenwolf zum erstenmal unser Haus betrat und bei meiner Tante sich einmietete.	偶然私は、荒野のおおかみがはじめて私たちの家にはいってき、おばのところに間借りをしたときに居あわせました	de-ja	de	ja
around_the_world_in_80_days	C’est ici chez vous.	あなたの家はここです。	fr-ja	fr	ja
les_miserables	Nous transcrivons ici une note écrite de sa main.	ここに彼自らしたためた覚え書きを写すとしよう。	fr-ja	fr	ja
les_miserables	M. Myriel n’avait pas de bien, sa famille ayant été ruinée par la révolution.	ミリエル氏には少しも財産がなかった。彼の一家は革命のために零落したのだった。	fr-ja	fr	ja
around_the_world_in_80_days	L'inspecteur redescendit sur le quai et se dirigea rapidement vers les bureaux du consul. Aussitôt, et sur sa demande pressante, il fut introduit près de ce fonctionnaire.	フィックス刑事はすぐさま桟橋を離れると、領事館に向かった。そこで、「緊急にお話ししたいことがあります」と言うと、領事はただちに部屋に入れてくれた。	fr-ja	fr	ja
around_the_world_in_80_days	On disait qu'il ressemblait à Byron, — par la tête, car il était irréprochable quant aux pieds, — mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.	彼はバイロンに似ているといわれていた。ただし似ているのは顔だけで、足は非の打ちどころのないほど端正であった。彼は口ひげと頬ひげとのあるバイロン……情熱に身をほろぼさず、それどころか、すこしも年をとらずに千年でも生きたであろう泰然たるバイロンであった。	fr-ja	fr	ja
animal_farm	None of the animals ever mentioned Mollie again.	動物たちはそれっきり二度とモリーのことを口にしなかった。	en-ja	en	ja
animal_farm	The life of an animal is misery and slavery: that is the plain truth.	動物の生涯は不幸と奴隷状態である。これはまぎれもない真相だ。	en-ja	en	ja
animal_farm	They were all carrying sticks, except Jones, who was marching ahead with a gun in his hands.	彼らは棒を持っていた、ジョーンズだけは別で、彼は銃を手にして先頭に立っていた。	en-ja	en	ja
animal_farm	Early in October, when the corn was cut and stacked and some of it was already threshed, a flight of pigeons came whirling through the air and alighted in the yard of Animal Farm in the wildest excitement.	十月の初め、麦は刈りとられて稲叢に積まれ、一部はすでに脱穀された時だったが、一群の鳩が空中から舞い下りて来て、極度に興奮して動物農場の中庭にとまった。	en-ja	en	ja
animal_farm	Every day Snowball and Napoleon sent out flights of pigeons whose instructions were to mingle with the animals on neighbouring farms, tell them the story of the Rebellion, and teach them the tune of Beasts of England.	毎日スノーボールとナポレオンは鳩群を飛ばし、鳩の指令は近隣の農場に棲む動物の中に交わり、彼らに叛乱の物語を話し、「イギリスの家畜」の歌を教えることであった。	en-ja	en	ja
medicine	老栓也打开灯笼罩，用荷叶重新包了那红的馒头。	老栓は提灯の中から赤い饅頭を出して蓮の葉に包んだ。	zh-ja	zh	ja
the_true_story_of_ah_q	「站著說！不要跪！」長衫人物都吆喝說。	「立って物を言え、膝を突くな」と長い著物の人は一斉に怒鳴った。	zh-ja	zh	ja
medicine	店里坐着许多人，老栓也忙了，提着大铜壶，一趟一趟的给客人冲茶；两个眼眶，都围着一圈黑线。	店の中には大勢の客が坐っていた。老栓は忙しそうに大薬鑵を提げて一さし、一さし、銘々のお茶を注ついで歩いた。彼の両方のは黒い輪に囲まれていた。	zh-ja	zh	ja
medicine	两个人一齐走进灶下，商量了一会；华大妈便出去了，不多时，拿着一片老荷叶回来，摊在桌上。	二人は一緒に竈の下へ行って何か相談したが、まもなく華大媽は外へ出て一枚の蓮の葉を持ってかえり卓テーブルの上に置いた。	zh-ja	zh	ja
the_true_story_of_ah_q	阿Q雖然似乎懂得，但總覺得站不住，身不由己的蹲了下去，而且終於趁勢改為跪下了。	阿Ｑは承知はしているが、どうしても立っていることが出来ない。我れ知らず身体が縮こまってその勢に押されて揚句の果ては膝を突いてしまう。	zh-ja	zh	ja
a_confession	Я наивно воображал, что я – поэт, художник, и могу учить всех, сам не зная, чему я учу.	I naively imagined that I was a poet and artist, and that I could teach everyone without knowing myself what I was teaching.	ru-en	ru	en
a_confession	«Все развивается, и я развиваюсь; а зачем это я развиваюсь вместе со всеми, это видно будет».	“Everything is evolving and I am evolving, and why I am evolving together with everyone else will be made clear.”	ru-en	ru	en
a_confession	По жизни человека, по делам его, как теперь, так и тогда никак нельзя узнать, верующий он или нет.	Now, just as then, it is impossible to judge from a person’s life, or behaviour, whether or not he is a believer.	ru-en	ru	en
a_confession	Помню еще, что, когда старший мой брат Дмитрий, будучи в университете, вдруг, с свойственною его натуре страстностью, предался вере и стал ходить ко всем службам, поститься, вести чистую и нравственную жизнь, то мы все, и даже старшие, не переставая поднимали его на смех и прозвали почему-то Ноем.	I also remember that when he was at the university my elder brother Dmitry suddenly took up the faith with the passion characteristic of his nature and started to go to all the church services and to fast and lead a pure and moral life, then all of us, even our elders, kept laughing at him and for some reason nicknamed him Noah.	ru-en	ru	en
a_confession	Так что как теперь, так и прежде вероучение, принятое по доверию и поддерживаемое внешним давлением, понемногу тает под влиянием знаний и опытов жизни, противоположных вероучению, и человек очень часто долго живет, воображая, что в нем цело то вероучение, которое сообщено было ему с детства, тогда как его давно уже нет и следа.	So now, just as then, Christian teaching, taken on trust and maintained by outside pressures, gradually dissolves under the influence of knowledge and life experience that are in opposition to it, and a man very often lives for a long time imagining that the Christian teaching given to him as a child is intact within him when it is long gone without a trace.	ru-en	ru	en
the_day_the_sun_died	喂──祢們都在嗎──有誰能來聽聽我的說叨嗎。	Hello . . . Are you there? . . . Is anyone going to come listen to me ramble?	zh-en	zh	en
the_day_the_sun_died	就先說說我自己。	Let me begin by telling you about myself.	zh-en	zh	en
the_day_the_sun_died	毛毛蟲在空中吊著吊著間，就成了一寸一寸的枯枝敗葉了。	Caterpillars were hanging in midair—desiccated and reduced to powder.	zh-en	zh	en
the_day_the_sun_died	初秋時，閻伯他為了把我們鎮上那一夜的故事寫出來，又一次從鎮上他家去住進了鎮南水庫邊上租的三間房。	In early autumn, Uncle Yan, in order to write down the story of what happened to our town that night, once again moved out of his home and into a three-room house he had rented next to a reservoir to the south of town.	zh-en	zh	en
the_day_the_sun_died	那時候，我為了去尋找不知去了哪兒的小娟子，每隔兩天就要去墟廢了的火葬場裡轉一轉。	During that period, I would go every other day to walk around the ruins surrounding the crematorium, to look for Little Juanzi, who had disappeared.	zh-en	zh	en
kokoro	私は月の末に東京へ帰った。	At the end of the month I returned to Tokyo.	ja-en	ja	en
kokoro	この物足りない返事が少し私の自信を傷いためた。	This unsatisfactory reply rather wounded my self-confidence.	ja-en	ja	en
kokoro	墓地の区切り目に、大きな銀杏が一本空を隠すように立っていた。	At the end of the cemetery a great ginkgo tree stood blocking the sky. 	ja-en	ja	en
kokoro	私は妻の望み通り二人連れ立って雑司ヶ谷へ行きました。	I complied with my wife’s request, and we went to Zoshigaya.	ja-en	ja	en
kokoro	妻はその前へ線香と花を立てました。	My wife put some flowers and incense sticks before it.	ja-en	ja	en
solaris	Stałem chwilę przed zamkniętymi drzwiami, nasłuchując.	I stood for a moment at the closed door, listening.	pl-en	pl	en
solaris	Podszedłem do szafy i zacząłem przebierać między kombinezonami.	I went up to the locker and started picking out a set of overalls.	pl-en	pl	en
solaris	Na płycie drzwi widniał przylepiony trochę skosem, niedbale, prostokątny kawałek plastra z ołówkowym napisem: „Człowiek”.	On the door there was a crooked rectangle of first-aid plaster that had been stuck up carelessly, bearing the inscription: “Human.”	pl-en	pl	en
solaris	— A może właśnie Solaris jest kolebką twego boskiego niemowlęcia — dorzucił Snaut.	“Perhaps Solaris is precisely the cradle of this divine infant of yours,” added Snaut.	pl-en	pl	en
solaris	Motor zbudził się, zaszumiał przeciągle, trójśmigło zawirowało i aparat uniósł się dziwnie lekko, pozostawiając w dole coraz mniejszy, srebrzysty dysk Stacji.	The engine sprang to life with a lengthy growl, the three-bladed rotor started spinning and the craft rose up, oddly light, leaving behind it the ever shrinking silver disk of the Station.	pl-en	pl	en
venus_in_furs	Wie er sich hingibt, hat er auch schon den Kopf im Joche und wird die Peitsche fühlen.	As soon as he gives in, his neck is under the yoke, and the lash will soon fall upon him.	de-en	de	en
venus_in_furs	Mir gegenüber an dem massiven Renaissancekamin saß Venus, aber nicht etwa eine Dame der Halbwelt, die unter diesem Namen Krieg führte gegen das feindliche Geschlecht, gleich Mademoiselle Cleopatra, sondern die wahrhafte Liebesgöttin.	Opposite me by the massive Renaissance fireplace sat Venus; she was not a casual woman of the half-world, who under this pseudonym wages war against the enemy sex, like Mademoiselle Cleopatra, but the real, true goddess of love.	de-en	de	en
venus_in_furs	Ich sah die Hand, die mich rüttelte, aber diese Hand war auf einmal braun wie Bronze, und die Stimme war die schwere Schnapsstimme meines Kosaken, der in seiner vollen Größe von nahe sechs Fuß vor mir stand.	I saw the hand that was shaking me, but this hand was suddenly as brown as bronze, and the voice was the heavy whiskey voice of my Cossack, who was standing before me at his full height of almost six feet.	de-en	de	en
venus_in_furs	»Dein Bild hat offenbar Anlaß zu meinem Traum gegeben«, fuhr ich fort, »aber sage mir endlich einmal, was damit ist, daß es eine Rolle gespielt hat in deinem Leben, und vielleicht eine sehr entscheidende, kann ich mir denken, aber das weitere erwarte ich von dir.«	"Your picture apparently suggested my dream," I continued. "But do tell me what it means. I can imagine that it played a role in your life, and perhaps a very decisive one. But the details I can only get from you."	de-en	de	en
venus_in_furs	Ich wußte, daß er sich nun lange Zeit nicht regen, ja kaum atmen würde, und so war es in der Tat, für mich hatte indes sein Benehmen nichts Auffallendes, denn ich verkehrte seit beinahe drei Jahren in guter Freundschaft mit ihm und hatte mich an alle seine Sonderbarkeiten gewöhnt.	I knew that he would sit motionless for a long time, scarcely breathing, and such was the case. But for me there was nothing peculiar about his behavior: having been close friends with him for almost three years now, I was accustomed to all his eccentricities.	de-en	de	en
the_little_prince	Voilà la copie du dessin.	Here is a copy of the drawing.	fr-en	fr	en
the_debacle	À mort les punaises à Badinguet !	Down with Badinguet's bed-bugs!	fr-en	fr	en
the_debacle	Weiss, étourdi, convaincu presque, se hâta de déclarer qu’il ne demandait pas mieux.	Weiss, stunned and almost convinced, made haste to declare that he wished for nothing better.	fr-en	fr	en
the_debacle	Une aube de deuil se levait, parmi les brumes couleur de suie qui étaient montées, là-bas, du fleuve lointain.	A funereal dawn was coming up out of the sooty mists rising from the distant river.	fr-en	fr	en
the_debacle	Si chaque soldat se mettait à blâmer les chefs et à donner son avis, on n’irait pas loin, pour sûr.	If every soldier took it into his head to criticize the officers and give his opinion they wouldn’t get very far, and that was a fact.	fr-en	fr	en
war_with_newts	"Protože... tam nikdo nesmí, pane. Mám vám nalít, kapitáne?"	“Because...no-one is allowed to go there. Another drink, Captain?”	cs-en	cs	en
	"Žraloci a vůbec," mumlal kříženec.	“Sharks and everything else besides,” the half-cast mumbled.	cs-en	cs	en
war_with_newts	"To jsou černošské pověry," prohlásil kapitán s žoviální převahou vzdělaného muže.	“Negro superstitions,” the captain declared with the jovial confidence of an educated man.	cs-en	cs	en
war_with_newts	A zatím v redakci sedí pět nebo šest opuštěných lidí, neboť ostatní kolegové jsou také na dovolené, kde tlukou rozhořčeně novinami a stěžují se, že teď v těch novinách nic, ale docela Nic není.	And meanwhile there are five or six lonely people sitting in the editorial office because all their colleagues are also on holiday, angrily throwing down their papers and complaining that there isn’t a thing, not a damned thing, in the paper.	cs-en	cs	en
war_with_newts	"A ty perly tu možu nechat?"	‘And I may leave these pearls here?’	cs-en	cs	en